url,image,name,coach,manager
https://www.pba.ph/teams/san-miguel-beermen,https://dashboard.pba.ph/assets/logo/SMB2020_web.png,San Miguel Beermen,Mr. Leo Austria,Mr. Gelacio Abanilla
https://www.pba.ph/teams/tnt-tropang-giga,https://dashboard.pba.ph/assets/logo/TNT_2020.png,TNT Tropang Giga,Mr. Chot Reyes,Mr. Gabriel Marco Cui
https://www.pba.ph/teams/magnolia-hotshots,https://dashboard.pba.ph/assets/logo/Magnolia_2021.png,Magnolia Hotshots Pambansang Manok,Mr. Chito Victolero,Mr. Alvin Patrimonio
https://www.pba.ph/teams/phoenix-fuelmasters,https://dashboard.pba.ph/assets/logo/phx2020.png,Phoenix Fuel Masters,Mr. Michael Robinson,Mr. Paolo Bugia
